NCIt Code	SwissProt ID	NCIt Preferred Name
C20109	Q13472	DNA Topoisomerase 3-Alpha
C38366	O95985	DNA Topoisomerase 3-Beta-1
C21415	P27695	DNA-(Apurinic or Apyrimidinic Site) Lyase
C21423	Q9UBZ4	DNA-(Apurinic or Apyrimidinic Site) Lyase 2
C94724	P29372	DNA-3-Methyladenine Glycosylase
C68732	Q13422	DNA-Binding Protein Ikaros
C99650	P41134	DNA-Binding Protein Inhibitor ID-1
C18168	Q02363	DNA-Binding Protein Inhibitor ID-2
C102970	Q02535	DNA-Binding Protein Inhibitor ID-3
C125500	P47928	DNA-Binding Protein Inhibitor ID-4
C74436	Q01826	DNA-Binding Protein SATB1
C75582	Q9UPW6	DNA-Binding Protein SATB2
C21483	P78527	DNA-Dependent Protein Kinase Catalytic Subunit
C21335	O15446	DNA-Directed RNA Polymerase I Subunit RPA34
C34071	P24928	DNA-Directed RNA Polymerase II Subunit RPB1
C134668	Q9Y2Y1	DNA-Directed RNA Polymerase III Subunit RPC10
C131591	Q9NW08	DNA-Directed RNA Polymerase III Subunit RPC2
C114343	U37690	DNA-Directed RNA Polymerases I, II, and III Subunit RPABC5
C126988	P31689	DnaJ Homolog Subfamily A Member 1
C122562	P25685	DnaJ Homolog Subfamily B Member 1
C62456	Q9UDY4	DnaJ Homolog Subfamily B Member 4
C102932	O75190	DnaJ Homolog Subfamily B Member 6
C26117	Q99704	Docking Protein 1
C97292	P04843	Dolichyl-Diphosphooligosaccharide-Protein Glycosyltransferase Subunit 1
C105734	P61803	Dolichyl-Diphosphooligosaccharide-Protein Glycosyltransferase Subunit DAD1
C97465	Q9UBX2	Double Homeobox Protein 4
C147933	P0CJ85	Double Homeobox Protein 4-Like Protein 2
C99656	Q9Y5R6	Doublesex- and Mab-3-Related Transcription Factor 1
C98169	P49959	Double-Strand Break Repair Protein MRE11A
C93087	O60216	Double-Strand-Break Repair Protein Rad21 Homolog
C29572	Q14919	Dr1-Associated Corepressor
C98095	Q86SG4	Dresden Prostate Carcinoma Protein 2
C17808	Q02750	Dual Specificity Mitogen-Activated Protein Kinase Kinase 1
C106633	P36507	Dual Specificity Mitogen-Activated Protein Kinase Kinase 2
C125166	P46734	Dual Specificity Mitogen-Activated Protein Kinase Kinase 3
C97676	P45985	Dual Specificity Mitogen-Activated Protein Kinase Kinase 4
C26485	P52564	Dual Specificity Mitogen-Activated Protein Kinase Kinase 6
C30147	P33981	Dual Specificity Protein Kinase TTK
C29568	P28562	Dual Specificity Protein Phosphatase 1
C129057	Q9Y6W6	Dual Specificity Protein Phosphatase 10
C39671	Q9NRW4	Dual Specificity Protein Phosphatase 22
C25856	P51452	Dual Specificity Protein Phosphatase 3
C112129	Q13115	Dual Specificity Protein Phosphatase 4
C111864	Q16690	Dual Specificity Protein Phosphatase 5
C106026	Q16828	Dual Specificity Protein Phosphatase 6
C98172	Q13627	Dual Specificity Tyrosine-Phosphorylation-Regulated Kinase 1A
C122877	Q14203	Dynactin Subunit 1
C116997	O00429	Dynamin-1-Like Protein
C102798	P50570	Dynamin-2
C150221	Q9NYC9	Dynein Heavy Chain 9, Axonemal
C98175	Q9NP97	Dynein Light Chain Roadblock-Type 1
C94679	Q0H395	Dysferlin
C104891	Q03001	Dystonin
C75325	P11532	Dystrophin
C118533	Q96L91	E1A-Binding Protein P400
C29992	Q9UII4	E3 ISG15-Protein Ligase HERC5
C73684	O00257	E3 SUMO-Protein Ligase CBX4
C131314	P11161	E3 SUMO-Protein Ligase EGR2
C131565	Q96MF7	E3 SUMO-Protein Ligase NSE2
C104797	O75925	E3 SUMO-Protein Ligase PIAS1
C30167	Q9Y6X2	E3 SUMO-Protein Ligase PIAS3
C114454	P49792	E3 SUMO-Protein Ligase RanBP2
C142208	Q9Y4E5	E3 SUMO-Protein Ligase ZNF451
C21251	Q14258	E3 Ubiquitin/ISG15 Ligase TRIM25
C17577	Q9UKV5	E3 Ubiquitin-Protein Ligase AMFR
C134189	Q9Y4X5	E3 Ubiquitin-Protein Ligase ARIH1
C102917	Q5VTR2	E3 Ubiquitin-Protein Ligase BRE1A
C18547	P22681	E3 Ubiquitin-Protein Ligase CBL
C21590	Q13191	E3 Ubiquitin-Protein Ligase CBL-B
C97441	Q9ULV8	E3 Ubiquitin-Protein Ligase CBL-C
C97374	Q9NPC3	E3 Ubiquitin-Protein Ligase CCNB1IP1
C77211	Q96EP1	E3 Ubiquitin-Protein Ligase CHFR
C26143	Q86Y01	E3 Ubiquitin-Protein Ligase DTX1
C92483	Q9NW38	E3 Ubiquitin-Protein Ligase FANCL
C119639	Q8IYU2	E3 Ubiquitin-Protein Ligase HACE1
C117251	O95714	E3 Ubiquitin-Protein Ligase HERC2
C111936	Q9UHC7	E3 Ubiquitin-Protein Ligase Makorin-1
C113308	Q86YJ5	E3 Ubiquitin-Protein Ligase MARCH9
C17515	Q00987	E3 Ubiquitin-Protein Ligase MDM2
C104653	Q86YT6	E3 Ubiquitin-Protein Ligase MIB1
C75732	O15344	E3 Ubiquitin-Protein Ligase Midline-1
C68584	P46934	E3 Ubiquitin-Protein Ligase NEDD4
C33967	O76050	E3 Ubiquitin-Protein Ligase NEURL1
C90313	O60260	E3 Ubiquitin-Protein Ligase Parkin
C106246	Q9NS91	E3 Ubiquitin-Protein Ligase RAD18
C119606	Q8NHY2	E3 Ubiquitin-Protein Ligase RFWD2
C138093	Q6PCD5	E3 Ubiquitin-Protein Ligase RFWD3
C150306	Q99496	E3 Ubiquitin-Protein Ligase RING2
C111933	Q86XS8	E3 Ubiquitin-Protein Ligase RNF130
C30127	Q8WU17	E3 Ubiquitin-Protein Ligase RNF139
C99467	Q9NTX7	E3 Ubiquitin-Protein Ligase RNF146
C114441	Q9NWF9	E3 Ubiquitin-Protein Ligase RNF216
C107651	Q68DV7	E3 Ubiquitin-Protein Ligase RNF43
C125486	Q99942	E3 Ubiquitin-Protein Ligase RNF5
C91765	O43255	E3 Ubiquitin-Protein Ligase SIAH2
C107648	Q6Q0C0	E3 Ubiquitin-Protein Ligase TRAF7
C125108	Q9BWF2	E3 Ubiquitin-Protein Ligase TRAIP
C29838	O60858	E3 Ubiquitin-Protein Ligase TRIM13
C94755	P19474	E3 Ubiquitin-Protein Ligase TRIM21
C116093	P36406	E3 Ubiquitin-Protein Ligase TRIM23
C97860	Q9UPN9	E3 Ubiquitin-Protein Ligase TRIM33
C102819	Q9NQ86	E3 Ubiquitin-Protein Ligase TRIM36
C122760	Q969Q1	E3 Ubiquitin-Protein Ligase TRIM63
C111930	O95071	E3 Ubiquitin-Protein Ligase UBR5
C115279	Q96T88	E3 Ubiquitin-Protein Ligase UHRF1
C118321	Q9ULT6	E3 Ubiquitin-Protein Ligase ZNRF3
C104076	Q07108	Early Activation Antigen CD69
C99601	P18146	Early Growth Response Protein 1
C118521	Q06889	Early Growth Response Protein 3
C39673	Q14641	Early Placenta Insulin-Like Peptide
C71005	Q9HC35	Echinoderm Microtubule-Associated Protein-Like 4
C113581	P49961	Ectonucleoside Triphosphate Diphosphohydrolase 1
C104211	Q13822	Ectonucleotide Pyrophosphatase/Phosphodiesterase Family Member 2
C147048	O14638	Ectonucleotide Pyrophosphatase/Phosphodiesterase Family Member 3
C106348	Q12805	EGF-Containing Fibulin-Like Extracellular Matrix Protein 1
C101545	Q9GZT9	Egl Nine Homolog 1
C131540	Q96KS0	Egl Nine Homolog 2
C126475	Q9H4M9	EH Domain-Containing Protein 1
C105391	P19957	Elafin
C75335	Q6ZWJ6	Elastin
C107477	Q15717	ELAV-Like Protein 1
C131571	P13804	Electron Transfer Flavoprotein Subunit Alpha, Mitochondrial
C97502	Q8IUD2	ELKS/Rab6-Interacting/CAST Family Member 1
C38581	P68104	Elongation Factor 1-Alpha 1
C38583	Q05639	Elongation Factor 1-Alpha 2
C38962	P24534	Elongation Factor 1-Beta
C38964	P29692	Elongation Factor 1-Delta
C38966	P26641	Elongation Factor 1-Gamma
C38586	P13639	Elongation Factor 2
C115423	Q15369	Elongin-C
C26157	Q9Y6C2	EMILIN-1
C114829	Q9UI08	Ena/VASP-Like Protein
C17406	P17813	Endoglin
C124097	Q96FI4	Endonuclease 8-Like 1
C105834	Q8TAT5	Endonuclease 8-Like 3
C106194	P78549	Endonuclease III-Like Protein 1
C97790	Q99961	Endophilin-A2
C21528	Q9CQE7	Endoplasmic Reticulum-Golgi Intermediate Compartment Protein 3
C117270	P14625	Endoplasmin
C25961	Q9UPY3	Endoribonuclease Dicer
C148603	Q5D1E8	Endoribonuclease ZC3H12A
C78159	Q9HCU0	Endosialin
C18046	P39060	Endostatin
C104089	Q9NQ30	Endothelial Cell-Specific Molecule 1
C113272	Q9Y5X9	Endothelial Lipase
C104306	Q99814	Endothelial PAS Domain-Containing Protein 1
C118584	Q9UNN8	Endothelial Protein C Receptor
C97554	P23769	Endothelial Transcription Factor GATA-2
C105930	P24530	Endothelin B Receptor
C1285	P05305	Endothelin-1
C71453	P25101	Endothelin-1 Receptor
C26151	P20800	Endothelin-2
C148000	P14138	Endothelin-3
C94806	Q92556	Engulfment and Cell Motility Protein 1
C71008	Q14511	Enhancer of Filamentation 1
C111958	Q9H2F5	Enhancer of Polycomb Homolog 1
C113257	O75521	Enoyl-CoA Delta Isomerase 2, Mitochondrial
C102929	O95936	Eomesodermin Homolog
C100091	Q05315	Eosinophil Lysophospholipase
C20485	P51671	Eotaxin
C18509	P21709	Ephrin Type-A Receptor 1
C26156	P29317	Ephrin Type-A Receptor 2
C17495	P29320	Ephrin Type-A Receptor 3
C26159	P54764	Ephrin Type-A Receptor 4
C128879	P54756	Ephrin Type-A Receptor 5
C111844	Q15375	Ephrin Type-A Receptor 7
C26160	P29322	Ephrin Type-A Receptor 8
C26162	P54762	Ephrin Type-B Receptor 1
C26166	P29323	Ephrin Type-B Receptor 2
C26168	P54753	Ephrin Type-B Receptor 3
C113832	P54760	Ephrin Type-B Receptor 4
C150225	O15197	Ephrin Type-B Receptor 6
C105843	P52799	Ephrin-B2
C20425	P01133	Epidermal Growth Factor
C17068	P00533	Epidermal Growth Factor Receptor
C26178	Q12929	Epidermal Growth Factor Receptor Kinase Pathway Substrate 8
C29592	Q8TE68	Epidermal Growth Factor Receptor Kinase Pathway Substrate 8-Like Protein 1
C29593	Q9H6S3	Epidermal Growth Factor Receptor Kinase Pathway Substrate 8-Like Protein 2
C29614	Q8TE67	Epidermal Growth Factor Receptor Kinase Pathway Substrate 8-Like Protein 3
C26179	P42566	Epidermal Growth Factor Receptor Pathway Substrate 15
C26154	Q9NZL7	Epidermal Growth Factor-Like Protein 6
C105920	Q6UW88	Epigen
C26171	O14944	Epiregulin
C20209	P16422	Epithelial Cell Adhesion Molecule
C101454	Q008S8	Epithelial Cell-Transforming Sequence 2 Oncogene-Like
C25855	Q08345	Epithelial Discoidin Domain-Containing Receptor 1
C17979	P54849	Epithelial Membrane Protein 1
C101499	Q6NXG1	Epithelial Splicing Regulatory Protein 1
C21511	Q96J88	Epithelial-Stromal Interaction Protein 1
C16860	P07099	Epoxide Hydrolase 1
C104664	P12978	Epstein-Barr Nuclear Antigen 2
C105063	Q99808	Equilibrative Nucleoside Transporter 1
C104547	Q14542	Equilibrative Nucleoside Transporter 2
C113572	Q7RTT9	Equilibrative Nucleoside Transporter 4
C101731	Q9UJM3	ERBB Receptor Feedback Inhibitor 1
C114627	Q96HE7	ERO1-Like Protein Alpha
C17493	P15976	Erythroid Transcription Factor
C20429	P01588	Erythropoietin
C17295	P19235	Erythropoietin Receptor
C17491	P16581	E-Selectin
C104037	P14061	Estradiol 17-Beta-Dehydrogenase 1
C16254	P37059	Estradiol 17-Beta-Dehydrogenase 2
C38361	P03372	Estrogen Receptor
C38364	Q92731	Estrogen Receptor Beta
C105993	P49888	Estrogen Sulfotransferase
C122825	Q9HBU6	Ethanolamine Kinase 1
C18288	P19419	ETS Domain-Containing Protein Elk-1
C17905	P41970	ETS Domain-Containing Protein Elk-3
C97478	P28324	ETS Domain-Containing Protein Elk-4
C26173	P50548	ETS Domain-Containing Transcription Factor ERF
C26155	Q9NZC4	ETS Homologous Factor
C26176	P50549	Ets Translocation Variant 1
C17806	P41162	ETS Translocation Variant 3
C26177	P43268	Ets Translocation Variant 4
C97481	P41161	ETS Translocation Variant 5
C20900	P78545	ETS-Related Transcription Factor Elf-3
C97474	Q99607	Ets-Related Transcription Factor Elf-4
C119728	O00418	Eukaryotic Elongation Factor 2 Kinase
C104192	P60842	Eukaryotic Initiation Factor 4A-I
C97469	Q14240	Eukaryotic Initiation Factor 4A-II
C30007	P41567	Eukaryotic Translation Initiation Factor 1
C131317	P47813	Eukaryotic Translation Initiation Factor 1A, X-Chromosomal
C118982	O60739	Eukaryotic Translation Initiation Factor 1b
C104189	P05198	Eukaryotic Translation Initiation Factor 2 Subunit 1
C97451	Q9BQI3	Eukaryotic Translation Initiation Factor 2-Alpha Kinase 1
C102829	Q9NZJ5	Eukaryotic Translation Initiation Factor 2-Alpha Kinase 3
C113597	Q9P2K8	Eukaryotic Translation Initiation Factor 2-Alpha Kinase 4
C96376	P55884	Eukaryotic Translation Initiation Factor 3 Subunit B
C17917	Q64252	Eukaryotic Translation Initiation Factor 3 Subunit E
C114631	Q9UBQ5	Eukaryotic Translation Initiation Factor 3 Subunit K
C82963	Q04637	Eukaryotic Translation Initiation Factor 4 Gamma 1
C121145	P23588	Eukaryotic Translation Initiation Factor 4B
C105125	P06730	Eukaryotic Translation Initiation Factor 4E
C30021	O60573	Eukaryotic Translation Initiation Factor 4E Type 2
C91349	Q13541	Eukaryotic Translation Initiation Factor 4E-Binding Protein 1
C104662	P55010	Eukaryotic Translation Initiation Factor 5
C91355	P63241	Eukaryotic Translation Initiation Factor 5A-1
C92671	P43004	Excitatory Amino Acid Transporter 2
C113129	Q9UPT5	Exocyst Complex Component 7
C21462	Q9UQ84	Exonuclease 1
C113292	Q9NQT4	Exosome Complex Component RRP46
C96360	Q9Y2L1	Exosome Complex Exonuclease RRP44
C18050	Q16394	Exostosin-1
C18037	Q93063	Exostosin-2
C26136	Q92935	Exostosin-Like 1
C26137	Q9UBQ6	Exostosin-Like 2
C26138	O43909	Exostosin-Like 3
C99488	O14980	Exportin-1
C105090	Q8IWU5	Extracellular Sulfatase Sulf-2
C123150	P08294	Extracellular Superoxide Dismutase [Cu-Zn]
C75392	Q99502	Eyes Absent Homolog 1
C68724	P15311	Ezrin
C132074	P47755	F-Actin-Capping Protein Subunit Alpha-2
C131757	Q05DB7	FAM30A Protein
C92481	Q0VG06	Fanconi Anemia Core Complex-Associated Protein 100
C92480	Q9BTP7	Fanconi Anemia Core Complex-Associated Protein 24
C85882	O15360	Fanconi Anemia Group A Protein
C85884	Q8NB91	Fanconi Anemia Group B Protein
C85885	Q00597	Fanconi Anemia Group C Protein
C85886	Q9BXW9	Fanconi Anemia Group D2 Protein
C85888	Q9HB96	Fanconi Anemia Group E Protein
C85891	Q9NPI8	Fanconi Anemia Group F Protein
C26135	O15287	Fanconi Anemia Group G Protein
C92482	Q9NVI1	Fanconi Anemia Group I Protein
C63528	Q9BX63	Fanconi Anemia Group J Protein
C54231	Q8IYD8	Fanconi Anemia Group M Protein
C92484	Q9Y2M0	Fanconi-Associated Nuclease 1
C99616	Q96AE4	Far Upstream Element-Binding Protein 1
C118212	P14324	Farnesyl Pyrophosphate Synthetase
C26133	Q14296	Fas-Activated Serine/Threonine Kinase
C26106	Q13158	FAS-Associated Death Domain Protein
C101607	Q16658	Fascin
C82861	Q96T10	Fatty Acid Desaturase 1
C16574	P49327	Fatty Acid Synthase
C29617	P15090	Fatty Acid-Binding Protein, Adipocyte
C30176	Q01469	Fatty Acid-Binding Protein, Epidermal
C20974	P05413	Fatty Acid-Binding Protein, Heart
C29616	P12104	Fatty Acid-Binding Protein, Intestinal
C29615	P07148	Fatty Acid-Binding Protein, Liver
C101508	Q86WN1	F-BAR and Double SH3 Domains Protein 1
C101106	Q86XK2	F-Box Only Protein 11
C153046	Q5XUX0	F-Box Only Protein 31
C104225	Q969P5	F-Box Only Protein 32
C114612	Q6PIJ6	F-Box Only Protein 38
C116694	Q9UKT4	F-Box Only Protein 5
C114619	Q96ME1	F-Box/LRR-Repeat Protein 18
C96369	Q9Y297	F-Box/WD Repeat-Containing Protein 1A
C75416	P57775	F-Box/WD Repeat-Containing Protein 4
C21512	Q969H0	F-Box/WD Repeat-Containing Protein 7
C80118	Q9BZK7	F-Box-Like/WD Repeat-Containing Protein TBL1XR1
C117130	Q96LA6	Fc Receptor-Like Protein 1
C117135	Q96LA5	Fc Receptor-Like Protein 2
C97594	Q96PJ5	Fc Receptor-Like Protein 4
C123874	Q96RD9	Fc Receptor-Like Protein 5
C114609	Q96AC1	Fermitin Family Homolog 2
C117080	Q86UX7	Fermitin Family Homolog 3
C29582	O95684	FGFR1 Oncogene Partner
C98077	Q9NVK5	FGFR1 Oncogene Partner 2
C114606	Q9C0D6	FH2 Domain-Containing Protein 1
C32596	P35555	Fibrillin-1
C120568	P35556	Fibrillin-2
C150231	P02671	Fibrinogen Alpha Chain
C20548	P05230	Fibroblast Growth Factor 1
C26125	O15520	Fibroblast Growth Factor 10
C147997	P61328	Fibroblast Growth Factor 12
C118515	Q92913	Fibroblast Growth Factor 13
C147995	Q92915	Fibroblast Growth Factor 14
C153049	O76093	Fibroblast Growth Factor 18
C96330	O95750	Fibroblast Growth Factor 19
C20547	P09038	Fibroblast Growth Factor 2
C26126	Q9NP95	Fibroblast Growth Factor 20
C26127	Q9NSA1	Fibroblast Growth Factor 21
C120958	Q9HCT0	Fibroblast Growth Factor 22
C104384	Q9GZV9	Fibroblast Growth Factor 23
C20549	P11487	Fibroblast Growth Factor 3
C20550	P08620	Fibroblast Growth Factor 4
C20434	P12034	Fibroblast Growth Factor 5
C20435	P10767	Fibroblast Growth Factor 6
C20436	P21781	Fibroblast Growth Factor 7
C26128	P55075	Fibroblast Growth Factor 8
C26146	P31371	Fibroblast Growth Factor 9
C17590	P11362	Fibroblast Growth Factor Receptor 1
C17411	P21802	Fibroblast Growth Factor Receptor 2
C124075	P21802	Fibroblast Growth Factor Receptor 2 Isoform IIIb
C26129	P22607	Fibroblast Growth Factor Receptor 3
C25859	P22455	Fibroblast Growth Factor Receptor 4
C29587	Q8WU20	Fibroblast Growth Factor Receptor Substrate 2
C29588	O43559	Fibroblast Growth Factor Receptor Substrate 3
C26132	Q8N441	Fibroblast Growth Factor Receptor-Like 1
C150300	P08F94	Fibrocystin
C131282	Q14314	Fibroleukin
C104393	Q06828	Fibromodulin
C16581	P02751	Fibronectin
C143132	P98095	Fibulin-2
C112150	P20930	Filaggrin
C113587	P21333	Filamin-A
C88954	Q14315	Filamin-C
C150238	Q9UM11	Fizzy-Related Protein Homolog
C97259	Q9UIM3	FK506-Binding Protein-Like
C131994	Q92990	FKBP-Associated Protein 48 kDa
C98122	P39748	Flap Endonuclease 1
C124103	Q17RS7	Flap Endonuclease GEN Homolog 1
C122749	O75955	Flotillin-1
C68602	Q14254	Flotillin-2
C26208	P21462	fMet-Leu-Phe Receptor
C20492	P49771	Fms-Related Tyrosine Kinase 3 Ligand
C17572	Q05397	Focal Adhesion Kinase 1
C39284	P15328	Folate Receptor Alpha
C104916	P14207	Folate Receptor Beta
C103948	P41440	Folate Transporter 1
C94809	P23945	Follicle-Stimulating Hormone Receptor
C63518	Q8NFG4	Folliculin
C107133	P19883	Follistatin
C131547	Q12841	Follistatin-Related Protein 1
C26632	O95633	Follistatin-Related Protein 3
C104399	P01225	Follitropin Subunit Beta
C103942	Q05932	Folylpolyglutamate Synthase, Mitochondrial
C131544	Q12948	Forkhead Box Protein C1
C48221	Q99958	Forkhead Box Protein C2
C92176	Q9UJU5	Forkhead Box Protein D3
C17584	P55316	Forkhead Box Protein G1
C75474	P58012	Forkhead Box Protein L2
C101582	Q08050	Forkhead Box Protein M1
C18055	O00409	Forkhead Box Protein N3
C26207	Q12778	Forkhead Box Protein O1
C28520	O43524	Forkhead Box Protein O3
C33948	P98177	Forkhead Box Protein O4
C101412	A8MYZ6	Forkhead Box Protein O6
C97551	Q9H334	Forkhead Box Protein P1
C75491	Q8NFQ2	Forkhead Box Protein P2
C104396	Q9BZS1	Forkhead Box Protein P3
C150235	Q8IVH2	Forkhead Box Protein P4
C115325	Q9C009	Forkhead Box Protein Q1
C143126	Q6PIV2	Forkhead Box Protein R1
C97542	Q96RU3	Formin-Binding Protein 1
C17439	P01100	FOS Oncoprotein
C18530	P15407	Fos-Related Antigen 1
C18531	P15408	Fos-Related Antigen 2
C26198	Q14192	Four and a Half LIM Domains Protein 2
C20489	P78423	Fractalkine
C75423	Q06787	Fragile X Mental Retardation Protein 1
C101749	O14842	Free Fatty Acid Receptor 1
C92548	Q5NUL3	Free Fatty Acid Receptor 4
C18566	Q01543	Friend Leukemia Integration 1 Transcription Factor
C91368	Q9UP38	Frizzled-1
C26163	Q14332	Frizzled-2
C26165	Q9NPG1	Frizzled-3
C26167	Q9ULV1	Frizzled-4
C26180	O60353	Frizzled-6
C26172	O75084	Frizzled-7
C104405	Q9H461	Frizzled-8
C26187	O00144	Frizzled-9
C117102	P09467	Fructose-1,6-Bisphosphatase 1
C95270	P07954	Fumarate Hydratase, Mitochondrial
C17902	P09958	Furin
C104381	Q96M96	FYVE, RhoGEF and PH Domain-Containing Protein 4
C105933	Q6ZNL6	FYVE, RhoGEF and PH Domain-Containing Protein 5
C104491	Q13065	G Antigen 1
C104378	Q6NT46	G Antigen 2A
C104469	Q9UEU5	G Antigen 2D
C104484	Q13068	G Antigen 4
C104482	Q13069	G Antigen 5
C104477	Q13070	G Antigen 6
C104472	O76087	G Antigen 7
C21513	Q96GT9	G Antigen Family D Member 3
C82960	Q8WTP9	G Antigen Family D Member 4
C26248	Q13227	G Protein Pathway Suppressor 2
C95840	P48544	G Protein-Activated Inward Rectifier Potassium Channel 4
C26232	P32298	G Protein-Coupled Receptor Kinase 4
C26235	P34947	G Protein-Coupled Receptor Kinase 5
C26237	P43250	G Protein-Coupled Receptor Kinase 6
C26242	Q8WTQ7	G Protein-Coupled Receptor Kinase 7
C101585	Q13569	G/T Mismatch-Specific Thymine DNA Glycosylase
C17988	P24385	G1/S-Specific Cyclin-D1
C118477	P24385	G1/S-Specific Cyclin-D1b
C45487	P30279	G1/S-Specific Cyclin-D2
C97383	P30281	G1/S-Specific Cyclin-D3
C21414	P24864	G1/S-Specific Cyclin-E1
C20959	O96020	G1/S-Specific Cyclin-E2
C17981	P14635	G2/Mitotic-Specific Cyclin-B1
C25773	O95067	G2/Mitotic-Specific Cyclin-B2
C139675	Q8WWL7	G2/Mitotic-Specific Cyclin-B3
C121620	P54803	Galactocerebrosidase
C148334	P07902	Galactose-1-Phosphate Uridylyltransferase
C101557	Q9UHV8	Galactoside-Binding Soluble Lectin 13
C101765	Q9P2W7	Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase 1
C121493	Q9NPZ5	Galactosylgalactosylxylosylprotein 3-Beta-Glucuronosyltransferase 2
C148351	P22466	Galanin
C148352	P22466	Galanin Message-Associated Peptide
C148350	P22466	Galanin Peptides
C26247	O43603	Galanin Receptor Type 2
C104408	P09382	Galectin-1
C104859	P17931	Galectin-3
C26351	Q08380	Galectin-3-Binding Protein
C90331	P47929	Galectin-7
C26352	O00214	Galectin-8
C112126	O00182	Galectin-9
C80084	Q9UEY8	Gamma-Adducin
C126545	P34903	Gamma-Aminobutyric Acid Receptor Subunit Alpha-3
C147971	Q16445	Gamma-Aminobutyric Acid Receptor Subunit Alpha-6
C107449	Q8N1C3	Gamma-Aminobutyric Acid Receptor Subunit Gamma-1
C107118	P60520	Gamma-Aminobutyric Acid Receptor-Associated Protein-Like 2
C101483	O75899	Gamma-Aminobutyric Acid Type B Receptor Subunit 2
C62216	P09104	Gamma-Enolase
C103945	Q92820	Gamma-Glutamyl Hydrolase
C115028	Q16666	Gamma-Interferon-Inducible Protein 16
C104809	Q9NZ42	Gamma-Secretase Subunit PEN-2
C21218	O76070	Gamma-Synuclein
C115172	P17302	Gap Junction Alpha-1 Protein
C127001	P29033	Gap Junction Beta-2 Protein
C104432	P09681	Gastric Inhibitory Polypeptide
C26183	P48546	Gastric Inhibitory Polypeptide Receptor
C94668	P01350	Gastrin
C21598	P32239	Gastrin/Cholecystokinin Type B Receptor
C2272	P07492	Gastrin-Releasing Peptide
C95067	P30550	Gastrin-Releasing Peptide Receptor
C118968	P51161	Gastrotropin
C103981	P0C6A0	GATA-Type Zinc Finger Protein 1
C148377	O75140	GATOR Complex Protein DEPDC5
C63531	Q8WTW4	GATOR Complex Protein NPRL2
C106288	Q12980	GATOR Complex Protein NPRL3
C26389	O00451	GDNF Family Receptor Alpha-2
C114603	O60547	GDP-Mannose 4,6 Dehydratase
C150253	P06396	Gelsolin
C114435	O14893	Gem-Associated Protein 2
C29620	O75496	Geminin
C126582	A6NCL1	Geminin Coiled-Coil Domain-Containing Protein 1
C115268	Q7Z6J2	General Receptor For Phosphoinositides 1-Associated Scaffold Protein
C29681	Q12789	General Transcription Factor 3C Polypeptide 1
C29682	Q8WUA4	General Transcription Factor 3C Polypeptide 2
C29683	Q9Y5Q9	General Transcription Factor 3C Polypeptide 3
C29684	Q9UKN8	General Transcription Factor 3C Polypeptide 4
C29685	Q9Y5Q8	General Transcription Factor 3C Polypeptide 5
C89723	Q969F1	General Transcription Factor 3C Polypeptide 6
C29677	P29083	General Transcription Factor IIE Subunit 1
C29678	P35269	General Transcription Factor IIF Subunit 1
C29679	P13984	General Transcription Factor IIF Subunit 2
C29680	P32780	General Transcription Factor IIH Subunit 1
C89758	Q13888	General Transcription Factor IIH Subunit 2
C89759	Q13889	General Transcription Factor IIH Subunit 3
C89760	Q92759	General Transcription Factor IIH Subunit 4
C89761	Q6ZYL4	General Transcription Factor IIH Subunit 5
C97527	Q9NQX3	Gephyrin
C41055	P53609	Geranylgeranyl Transferase Type-1 Subunit Beta
C126994	Q8N6F7	Germinal Center-Associated Signaling and Motility Protein
C106424	Q9H2C0	Gigaxonin
C20446	P39905	Glial Cell Line-Derived Neurotrophic Factor
C68804	P14136	Glial Fibrillary Acidic Protein
C26134	Q92990	Glomulin
C2268	P01275	Glucagon
C17071	P04150	Glucocorticoid Receptor
C116611	Q14397	Glucokinase Regulatory Protein
C16640	P11413	Glucose-6-Phosphate 1-Dehydrogenase
C17428	P06744	Glucose-6-Phosphate Isomerase
C147974	Q8IVV7	Glucose-Induced Degradation Protein 4 Homolog
C104423	P04062	Glucosylceramidase
C17796	Q04609	Glutamate Carboxypeptidase 2
C26238	P42263	Glutamate Receptor 3
C98149	Q12879	Glutamate Receptor Ionotropic, NMDA 2A
C102460	Q13224	Glutamate Receptor Ionotropic, NMDA 2B
C38608	P48506	Glutamate-Cysteine Ligase Catalytic Subunit
C38606	P48507	Glutamate-Cysteine Ligase Regulatory Subunit
C21516	Q9UI32	Glutaminase Liver Isoform, Mitochondrial
C102506	Q16769	Glutaminyl-Peptide Cyclotransferase
C116582	P35754	Glutaredoxin-1
C95248	O76003	Glutaredoxin-3
C60309	P07203	Glutathione Peroxidase 1
C104433	P18283	Glutathione Peroxidase 2
C127004	P22352	Glutathione Peroxidase 3
C104976	P08263	Glutathione S-Transferase A1
C116650	O15217	Glutathione S-Transferase A4
C18290	P09488	Glutathione S-Transferase Mu 1
C112074	P21266	Glutathione S-Transferase Mu 3
C105666	Q03013	Glutathione S-Transferase Mu 4
C18049	P09211	Glutathione S-Transferase P
C26244	P30711	Glutathione S-Transferase Theta-1
C104411	P04406	Glyceraldehyde-3-Phosphate Dehydrogenase
C75500	P32189	Glycerol Kinase
C122898	P50440	Glycine Amidinotransferase, Mitochondrial
C132129	P41250	Glycine-tRNA Ligase
